测点id,测点名称,数值类型,单位,用户,用户代码,通讯协议,测点类型,参数1,参数2,参数3,数据来源用户,数据来源用户代码,数据来源用户通讯协议,数据来源测点,数据去向用户,数据去向用户代码,数据去向用户通讯协议,数据去向测点,参数1,参数2,参数3
FZXT10018-b,停车开关开信号,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10018_B,虚拟操作,XNCZ,OPC UA客户端,停车开关开信号,,,,,,,
FZXT10019-b,低压泵运行反馈,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,低压泵运行反馈,,,,,,,
FZXT10019-b,低压泵运行反馈,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10019_B,虚拟操作,XNCZ,OPC UA客户端,低压泵运行反馈,,,,,,,
FZXT10020-b,滑油泵运行反馈,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,滑油泵运行反馈,,,,,,,
FZXT10020-b,滑油泵运行反馈,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10020_B,虚拟操作,XNCZ,OPC UA客户端,滑油泵运行反馈,,,,,,,
FZXT10021-b,被试泵运行反馈,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵运行反馈,,,,,,,
FZXT10021-b,被试泵运行反馈,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10021_B,虚拟操作,XNCZ,OPC UA客户端,被试泵运行反馈,,,,,,,
FZXT10022-b,上位机手动故障复位,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,上位机手动故障复位,,,,,,,
FZXT10022-b,上位机手动故障复位,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10022_B,虚拟操作,XNCZ,OPC UA客户端,上位机手动故障复位,,,,,,,
FZXT10023-b,油门设定值偏差报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,油门设定值偏差报警,,,,,,,
FZXT10023-b,油门设定值偏差报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10023_B,虚拟操作,XNCZ,OPC UA客户端,油门设定值偏差报警,,,,,,,
FZXT10024-b,油门输入输出差报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,油门输入输出差报警,,,,,,,
FZXT10024-b,油门输入输出差报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10024_B,虚拟操作,XNCZ,OPC UA客户端,油门输入输出差报警,,,,,,,
FZXT10025-b,FCV001输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,FCV001输入输出差值报警,,,,,,,
FZXT10025-b,FCV001输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10025_B,虚拟操作,XNCZ,OPC UA客户端,FCV001输入输出差值报警,,,,,,,
FZXT10026-b,FCV002输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,FCV002输入输出差值报警,,,,,,,
FZXT10026-b,FCV002输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10026_B,虚拟操作,XNCZ,OPC UA客户端,FCV002输入输出差值报警,,,,,,,
FZXT10027-b,FT005流量超限报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,FT005流量超限报警,,,,,,,
FZXT10027-b,FT005流量超限报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10027_B,虚拟操作,XNCZ,OPC UA客户端,FT005流量超限报警,,,,,,,
FZXT10028-b,低压泵后压力上限报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,低压泵后压力上限报警,,,,,,,
FZXT10028-b,低压泵后压力上限报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10028_B,虚拟操作,XNCZ,OPC UA客户端,低压泵后压力上限报警,,,,,,,
FZXT10029-b,被试泵入口压力下限报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵入口压力下限报警,,,,,,,
FZXT10029-b,被试泵入口压力下限报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10029_B,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力下限报警,,,,,,,
FZXT10030-b,被试泵出口压力上限报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵出口压力上限报警,,,,,,,
FZXT10030-b,被试泵出口压力上限报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10030_B,虚拟操作,XNCZ,OPC UA客户端,被试泵出口压力上限报警,,,,,,,
FZXT10031-b,自动油滤压力上限报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,自动油滤压力上限报警,,,,,,,
FZXT10031-b,自动油滤压力上限报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10031_B,虚拟操作,XNCZ,OPC UA客户端,自动油滤压力上限报警,,,,,,,
FZXT10032-b,冷却水压力下限报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,冷却水压力下限报警,,,,,,,
FZXT10032-b,冷却水压力下限报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10032_B,虚拟操作,XNCZ,OPC UA客户端,冷却水压力下限报警,,,,,,,
FZXT10033-b,被试泵转速超范围报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵转速超范围报警,,,,,,,
FZXT10033-b,被试泵转速超范围报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10033_B,虚拟操作,XNCZ,OPC UA客户端,被试泵转速超范围报警,,,,,,,
FZXT10034-b,转速输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,转速输入输出差值报警,,,,,,,
FZXT10034-b,转速输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10034_B,虚拟操作,XNCZ,OPC UA客户端,转速输入输出差值报警,,,,,,,
FZXT10035-b,被试泵入口温度上限报警,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵入口温度上限报警,,,,,,,
FZXT10035-b,被试泵入口温度上限报警,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10035_B,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度上限报警,,,,,,,
FZXT10036-d,低压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,低压电动调节阀输出,,,,,,,
FZXT10036-d,低压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输入,1,S,FZXT10036_D,虚拟操作,XNCZ,OPC UA客户端,低压电动调节阀输出,,,,,,,
FZXT10037-d,高压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,高压电动调节阀输出,,,,,,,
FZXT10037-d,高压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输入,1,S,FZXT10037_D,虚拟操作,XNCZ,OPC UA客户端,高压电动调节阀输出,,,,,,,
FZXT10038-d,油门位置反馈,double,°,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,油门位置反馈,,,,,,,
FZXT10038-d,油门位置反馈,double,°,仿真系统,FZXT,TCP,输入,1,S,FZXT10038_D,虚拟操作,XNCZ,OPC UA客户端,油门位置反馈,,,,,,,
FZXT10039-d,被试泵转速,double,r/min,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵转速,,,,,,,
FZXT10039-d,被试泵转速,double,r/min,仿真系统,FZXT,TCP,输入,1,S,FZXT10039_D,虚拟操作,XNCZ,OPC UA客户端,被试泵转速,,,,,,,
FZXT10040-b,低压供油系统截止阀,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,低压供油系统截止阀,,,,,,,
FZXT10040-b,低压供油系统截止阀,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10040_B,虚拟操作,XNCZ,OPC UA客户端,低压供油系统截止阀,,,,,,,
FZXT10041-b,冷却水供水手动截止阀,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,冷却水供水手动截止阀,,,,,,,
FZXT10041-b,冷却水供水手动截止阀,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10041_B,虚拟操作,XNCZ,OPC UA客户端,冷却水供水手动截止阀,,,,,,,
FZXT10042-b,起动油路燃油电磁阀,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,起动油路燃油电磁阀,,,,,,,
FZXT10042-b,起动油路燃油电磁阀,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10042_B,虚拟操作,XNCZ,OPC UA客户端,起动油路燃油电磁阀,,,,,,,
FZXT10043-b,故障排放阀,bool,/,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,故障排放阀,,,,,,,
FZXT10043-b,故障排放阀,bool,/,仿真系统,FZXT,TCP,输入,1,S,FZXT10043_B,虚拟操作,XNCZ,OPC UA客户端,故障排放阀,,,,,,,
FZXT20001-d,低压泵后压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,低压泵后压力,,,,,,,
FZXT20001-d,低压泵后压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20001_D,虚拟操作,XNCZ,OPC UA客户端,低压泵后压力,,,,,,,
FZXT20002-d,被试泵入口压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵入口压力,,,,,,,
FZXT20002-d,被试泵入口压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20002_D,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力,,,,,,,
FZXT20003-d,燃油滤前压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,燃油滤前压力,,,,,,,
FZXT20003-d,燃油滤前压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20003_D,虚拟操作,XNCZ,OPC UA客户端,燃油滤前压力,,,,,,,
FZXT20004-d,燃油泵出口压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,燃油泵出口压力,,,,,,,
FZXT20004-d,燃油泵出口压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20004_D,虚拟操作,XNCZ,OPC UA客户端,燃油泵出口压力,,,,,,,
FZXT20005-d,调节器出口压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,调节器出口压力,,,,,,,
FZXT20005-d,调节器出口压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20005_D,虚拟操作,XNCZ,OPC UA客户端,调节器出口压力,,,,,,,
FZXT20006-d,1#油路压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,1#油路压力,,,,,,,
FZXT20006-d,1#油路压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20006_D,虚拟操作,XNCZ,OPC UA客户端,1#油路压力,,,,,,,
FZXT20007-d,2#管路压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,2#管路压力,,,,,,,
FZXT20007-d,2#管路压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20007_D,虚拟操作,XNCZ,OPC UA客户端,2#管路压力,,,,,,,
FZXT20008-d,喷嘴后压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,喷嘴后压力,,,,,,,
FZXT20008-d,喷嘴后压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20008_D,虚拟操作,XNCZ,OPC UA客户端,喷嘴后压力,,,,,,,
FZXT20009-d,起动油路燃油压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,起动油路燃油压力,,,,,,,
FZXT20009-d,起动油路燃油压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20009_D,虚拟操作,XNCZ,OPC UA客户端,起动油路燃油压力,,,,,,,
FZXT20010-d,冷却水入口压力,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,冷却水入口压力,,,,,,,
FZXT20010-d,冷却水入口压力,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20010_D,虚拟操作,XNCZ,OPC UA客户端,冷却水入口压力,,,,,,,
FZXT20011-d,被试泵入口温度,double,℃,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,被试泵入口温度,,,,,,,
FZXT20011-d,被试泵入口温度,double,℃,仿真系统,FZXT,TCP,输入,1,S,FZXT20011_D,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度,,,,,,,
FZXT20012-d,流量计处回油温度,double,℃,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,流量计处回油温度,,,,,,,
FZXT20012-d,流量计处回油温度,double,℃,仿真系统,FZXT,TCP,输入,1,S,FZXT20012_D,虚拟操作,XNCZ,OPC UA客户端,流量计处回油温度,,,,,,,
FZXT20013-d,冷却水进口温度,double,℃,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,冷却水进口温度,,,,,,,
FZXT20013-d,冷却水进口温度,double,℃,仿真系统,FZXT,TCP,输入,1,S,FZXT20013_D,虚拟操作,XNCZ,OPC UA客户端,冷却水进口温度,,,,,,,
FZXT20014-d,FT005燃油流量,double,L/h，kg/h,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,FT005燃油流量,,,,,,,
FZXT20014-d,FT005燃油流量,double,L/h，kg/h,仿真系统,FZXT,TCP,输入,1,S,FZXT20014_D,虚拟操作,XNCZ,OPC UA客户端,FT005燃油流量,,,,,,,
FZXT20015-d,燃油调节阀进出口压差,double,MPa,仿真系统,FZXT,TCP,输入,,,,三维感知,SWGZ,TCP,燃油调节阀进出口压差,,,,,,,
FZXT20015-d,燃油调节阀进出口压差,double,MPa,仿真系统,FZXT,TCP,输入,1,S,FZXT20015_D,虚拟操作,XNCZ,OPC UA客户端,燃油调节阀进出口压差,,,,,,,
FZXT99999-d,仿真时间,double,s,仿真系统,FZXT,TCP,输入,1,S,BNSYS_SIMULATION_TIMER,虚拟操作,XNCZ,OPC UA客户端,仿真时间,,,,,,,
SWSC10001-b,主操作台急停,bool,/,实物系统（数采）,SWSC,TCP,输出,5003,,,,,,,三维感知,SWGZ,TCP,主操作台急停,,,,
SWSC10001-b,主操作台急停,bool,/,实物系统（数采）,SWSC,TCP,输出,5003,,,,,,,虚拟操作,XNCZ,OPC UA客户端,主操作台急停,1,S,SWSC10001_B,
SWSC10002-b,变频柜急停,bool,/,实物系统（数采）,SWSC,TCP,输出,5004,,,,,,,三维感知,SWGZ,TCP,变频柜急停,,,,
SWSC10002-b,变频柜急停,bool,/,实物系统（数采）,SWSC,TCP,输出,5004,,,,,,,虚拟操作,XNCZ,OPC UA客户端,变频柜急停,1,S,SWSC10002_B,
SWSC10003-b,FT005流量超限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5008,,,,,,,三维感知,SWGZ,TCP,FT005流量超限停机,,,,
SWSC10003-b,FT005流量超限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5008,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FT005流量超限停机,1,S,SWSC10003_B,
SWSC10004-b,主控制柜急停,bool,/,实物系统（数采）,SWSC,TCP,输出,5010,,,,,,,三维感知,SWGZ,TCP,主控制柜急停,,,,
SWSC10004-b,主控制柜急停,bool,/,实物系统（数采）,SWSC,TCP,输出,5010,,,,,,,虚拟操作,XNCZ,OPC UA客户端,主控制柜急停,1,S,SWSC10004_B,
SWSC10005-b,低压泵返回故障,bool,/,实物系统（数采）,SWSC,TCP,输出,5011,,,,,,,三维感知,SWGZ,TCP,低压泵返回故障,,,,
SWSC10005-b,低压泵返回故障,bool,/,实物系统（数采）,SWSC,TCP,输出,5011,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压泵返回故障,1,S,SWSC10005_B,
SWSC10006-b,被试泵运行返回故障,bool,/,实物系统（数采）,SWSC,TCP,输出,5012,,,,,,,三维感知,SWGZ,TCP,被试泵运行返回故障,,,,
SWSC10006-b,被试泵运行返回故障,bool,/,实物系统（数采）,SWSC,TCP,输出,5012,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵运行返回故障,1,S,SWSC10006_B,
SWSC10007-b,辅助低压泵后压力上限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5014,,,,,,,三维感知,SWGZ,TCP,辅助低压泵后压力上限停机,,,,
SWSC10007-b,辅助低压泵后压力上限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5014,,,,,,,虚拟操作,XNCZ,OPC UA客户端,辅助低压泵后压力上限停机,1,S,SWSC10007_B,
SWSC10008-b,被试泵入口压力下限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5016,,,,,,,三维感知,SWGZ,TCP,被试泵入口压力下限停机,,,,
SWSC10008-b,被试泵入口压力下限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5016,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力下限停机,1,S,SWSC10008_B,
SWSC10009-b,被试泵出口压力上限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5018,,,,,,,三维感知,SWGZ,TCP,被试泵出口压力上限停机,,,,
SWSC10009-b,被试泵出口压力上限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5018,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵出口压力上限停机,1,S,SWSC10009_B,
SWSC10010-b,冷却水压力下限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5021,,,,,,,三维感知,SWGZ,TCP,冷却水压力下限停机,,,,
SWSC10010-b,冷却水压力下限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5021,,,,,,,虚拟操作,XNCZ,OPC UA客户端,冷却水压力下限停机,1,S,SWSC10010_B,
SWSC10011-b,被试泵转速超限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5023,,,,,,,三维感知,SWGZ,TCP,被试泵转速超限停机,,,,
SWSC10011-b,被试泵转速超限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5023,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵转速超限停机,1,S,SWSC10011_B,
SWSC10012-b,被试泵入口温度上限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5026,,,,,,,三维感知,SWGZ,TCP,被试泵入口温度上限停机,,,,
SWSC10012-b,被试泵入口温度上限停机,bool,/,实物系统（数采）,SWSC,TCP,输出,5026,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度上限停机,1,S,SWSC10012_B,
SWSC10013-b,油门杆动作,bool,/,实物系统（数采）,SWSC,TCP,输出,5062,,,,,,,三维感知,SWGZ,TCP,油门杆动作,,,,
SWSC10013-b,油门杆动作,bool,/,实物系统（数采）,SWSC,TCP,输出,5062,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门杆动作,1,S,SWSC10013_B,
SWSC10014-b,油门杆供电正常,bool,/,实物系统（数采）,SWSC,TCP,输出,5063,,,,,,,三维感知,SWGZ,TCP,油门杆供电正常,,,,
SWSC10014-b,油门杆供电正常,bool,/,实物系统（数采）,SWSC,TCP,输出,5063,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门杆供电正常,1,S,SWSC10014_B,
SWSC10015-b,反馈板电源正常,bool,/,实物系统（数采）,SWSC,TCP,输出,5065,,,,,,,三维感知,SWGZ,TCP,反馈板电源正常,,,,
SWSC10015-b,反馈板电源正常,bool,/,实物系统（数采）,SWSC,TCP,输出,5065,,,,,,,虚拟操作,XNCZ,OPC UA客户端,反馈板电源正常,1,S,SWSC10015_B,
SWSC10016-b,使能停止校验,bool,/,实物系统（数采）,SWSC,TCP,输出,5066,,,,,,,三维感知,SWGZ,TCP,使能停止校验,,,,
SWSC10016-b,使能停止校验,bool,/,实物系统（数采）,SWSC,TCP,输出,5066,,,,,,,虚拟操作,XNCZ,OPC UA客户端,使能停止校验,1,S,SWSC10016_B,
SWSC10017-b,停车开关关信号,bool,/,实物系统（数采）,SWSC,TCP,输出,5067,,,,,,,三维感知,SWGZ,TCP,停车开关关信号,,,,
SWSC10017-b,停车开关关信号,bool,/,实物系统（数采）,SWSC,TCP,输出,5067,,,,,,,虚拟操作,XNCZ,OPC UA客户端,停车开关关信号,1,S,SWSC10017_B,
SWSC10018-b,停车开关开信号,bool,/,实物系统（数采）,SWSC,TCP,输出,5068,,,,,,,三维感知,SWGZ,TCP,停车开关开信号,,,,
SWSC10018-b,停车开关开信号,bool,/,实物系统（数采）,SWSC,TCP,输出,5068,,,,,,,虚拟操作,XNCZ,OPC UA客户端,停车开关开信号,1,S,SWSC10018_B,
SWSC10019-b,低压泵运行反馈,bool,/,实物系统（数采）,SWSC,TCP,输出,5069,,,,,,,三维感知,SWGZ,TCP,低压泵运行反馈,,,,
SWSC10019-b,低压泵运行反馈,bool,/,实物系统（数采）,SWSC,TCP,输出,5069,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压泵运行反馈,1,S,SWSC10019_B,
SWSC10020-b,滑油泵运行反馈,bool,/,实物系统（数采）,SWSC,TCP,输出,5070,,,,,,,三维感知,SWGZ,TCP,滑油泵运行反馈,,,,
SWSC10020-b,滑油泵运行反馈,bool,/,实物系统（数采）,SWSC,TCP,输出,5070,,,,,,,虚拟操作,XNCZ,OPC UA客户端,滑油泵运行反馈,1,S,SWSC10020_B,
SWSC10021-b,被试泵运行反馈,bool,/,实物系统（数采）,SWSC,TCP,输出,5071,,,,,,,三维感知,SWGZ,TCP,被试泵运行反馈,,,,
SWSC10021-b,被试泵运行反馈,bool,/,实物系统（数采）,SWSC,TCP,输出,5071,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵运行反馈,1,S,SWSC10021_B,
SWSC10022-b,上位机手动故障复位,bool,/,实物系统（数采）,SWSC,TCP,输出,5009,,,,,,,三维感知,SWGZ,TCP,上位机手动故障复位,,,,
SWSC10022-b,上位机手动故障复位,bool,/,实物系统（数采）,SWSC,TCP,输出,5009,,,,,,,虚拟操作,XNCZ,OPC UA客户端,上位机手动故障复位,1,S,SWSC10022_B,
SWSC10023-b,油门设定值偏差报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5001,,,,,,,三维感知,SWGZ,TCP,油门设定值偏差报警,,,,
SWSC10023-b,油门设定值偏差报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5001,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门设定值偏差报警,1,S,SWSC10023_B,
SWSC10024-b,油门输入输出差报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5002,,,,,,,三维感知,SWGZ,TCP,油门输入输出差报警,,,,
SWSC10024-b,油门输入输出差报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5002,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门输入输出差报警,1,S,SWSC10024_B,
SWSC10025-b,FCV001输入输出差值报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5005,,,,,,,三维感知,SWGZ,TCP,FCV001输入输出差值报警,,,,
SWSC10025-b,FCV001输入输出差值报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5005,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FCV001输入输出差值报警,1,S,SWSC10025_B,
SWSC10026-b,FCV002输入输出差值报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5006,,,,,,,三维感知,SWGZ,TCP,FCV002输入输出差值报警,,,,
SWSC10026-b,FCV002输入输出差值报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5006,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FCV002输入输出差值报警,1,S,SWSC10026_B,
SWSC10027-b,FT005流量超限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5007,,,,,,,三维感知,SWGZ,TCP,FT005流量超限报警,,,,
SWSC10027-b,FT005流量超限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5007,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FT005流量超限报警,1,S,SWSC10027_B,
SWSC10028-b,低压泵后压力上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5013,,,,,,,三维感知,SWGZ,TCP,低压泵后压力上限报警,,,,
SWSC10028-b,低压泵后压力上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5013,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压泵后压力上限报警,1,S,SWSC10028_B,
SWSC10029-b,被试泵入口压力下限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5015,,,,,,,三维感知,SWGZ,TCP,被试泵入口压力下限报警,,,,
SWSC10029-b,被试泵入口压力下限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5015,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力下限报警,1,S,SWSC10029_B,
SWSC10030-b,被试泵出口压力上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5017,,,,,,,三维感知,SWGZ,TCP,被试泵出口压力上限报警,,,,
SWSC10030-b,被试泵出口压力上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5017,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵出口压力上限报警,1,S,SWSC10030_B,
SWSC10031-b,自动油滤压力上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5019,,,,,,,三维感知,SWGZ,TCP,自动油滤压力上限报警,,,,
SWSC10031-b,自动油滤压力上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5019,,,,,,,虚拟操作,XNCZ,OPC UA客户端,自动油滤压力上限报警,1,S,SWSC10031_B,
SWSC10032-b,冷却水压力下限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5020,,,,,,,三维感知,SWGZ,TCP,冷却水压力下限报警,,,,
SWSC10032-b,冷却水压力下限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5020,,,,,,,虚拟操作,XNCZ,OPC UA客户端,冷却水压力下限报警,1,S,SWSC10032_B,
SWSC10033-b,被试泵转速超范围报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5022,,,,,,,三维感知,SWGZ,TCP,被试泵转速超范围报警,,,,
SWSC10033-b,被试泵转速超范围报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5022,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵转速超范围报警,1,S,SWSC10033_B,
SWSC10034-b,转速输入输出差值报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5024,,,,,,,三维感知,SWGZ,TCP,转速输入输出差值报警,,,,
SWSC10034-b,转速输入输出差值报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5024,,,,,,,虚拟操作,XNCZ,OPC UA客户端,转速输入输出差值报警,1,S,SWSC10034_B,
SWSC10035-b,被试泵入口温度上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5025,,,,,,,三维感知,SWGZ,TCP,被试泵入口温度上限报警,,,,
SWSC10035-b,被试泵入口温度上限报警,bool,/,实物系统（数采）,SWSC,TCP,输出,5025,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度上限报警,1,S,SWSC10035_B,
SWSC10036-d,低压电动调节阀输出,double,%,实物系统（数采）,SWSC,TCP,输出,5047,,,,,,,三维感知,SWGZ,TCP,低压电动调节阀输出,,,,
SWSC10036-d,低压电动调节阀输出,double,%,实物系统（数采）,SWSC,TCP,输出,5047,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压电动调节阀输出,1,S,SWSC10036_D,
SWSC10037-d,高压电动调节阀输出,double,%,实物系统（数采）,SWSC,TCP,输出,5048,,,,,,,三维感知,SWGZ,TCP,高压电动调节阀输出,,,,
