测点id,测点名称,数值类型,单位,用户,用户代码,通讯协议,测点类型,参数1,参数2,参数3,数据来源用户,数据来源用户代码,数据来源用户通讯协议,数据来源测点,数据去向用户,数据去向用户代码,数据去向用户通讯协议,数据去向测点,参数1,参数2,参数3
FZXT10018-b,停车开关开信号,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,停车开关开信号,1,S,FZXT10018_B,
FZXT10019-b,低压泵运行反馈,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,低压泵运行反馈,,,,
FZXT10019-b,低压泵运行反馈,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压泵运行反馈,1,S,FZXT10019_B,
FZXT10020-b,滑油泵运行反馈,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,滑油泵运行反馈,,,,
FZXT10020-b,滑油泵运行反馈,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,滑油泵运行反馈,1,S,FZXT10020_B,
FZXT10021-b,被试泵运行反馈,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵运行反馈,,,,
FZXT10021-b,被试泵运行反馈,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵运行反馈,1,S,FZXT10021_B,
FZXT10022-b,上位机手动故障复位,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,上位机手动故障复位,,,,
FZXT10022-b,上位机手动故障复位,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,上位机手动故障复位,1,S,FZXT10022_B,
FZXT10023-b,油门设定值偏差报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,油门设定值偏差报警,,,,
FZXT10023-b,油门设定值偏差报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门设定值偏差报警,1,S,FZXT10023_B,
FZXT10024-b,油门输入输出差报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,油门输入输出差报警,,,,
